,Year,variable,value
518,2004,HIV/AIDS,9378987.0
519,2005,HIV/AIDS,9563179.0
520,2006,HIV/AIDS,9580520.0
521,2007,HIV/AIDS,9417495.0
522,2008,HIV/AIDS,9057819.0
523,2009,HIV/AIDS,8651138.0
524,2010,HIV/AIDS,8118380.0
525,2011,HIV/AIDS,7543219.0
526,2012,HIV/AIDS,6962143.0
527,2013,HIV/AIDS,6390074.0
528,2014,HIV/AIDS,5910483.0
529,2015,HIV/AIDS,5517304.0
530,2016,HIV/AIDS,5128886.0
531,2017,HIV/AIDS,4700124.0
532,1990,Drug use,345465.0
533,1991,Drug use,374343.0
534,1992,Drug use,406814.0
535,1993,Drug use,434065.0
536,1994,Drug use,459333.0
537,1995,Drug use,478270.0
538,1996,Drug use,486126.0
539,1997,Drug use,488227.0
540,1998,Drug use,493762.0
541,1999,Drug use,497238.0
542,2000,Drug use,500293.0
543,2001,Drug use,483187.0
544,2002,Drug use,475871.0
545,2003,Drug use,468560.0
546,2004,Drug use,471339.0
547,2005,Drug use,492721.0
548,2006,Drug use,496746.0
549,2007,Drug use,503956.0
550,2008,Drug use,521195.0
551,2009,Drug use,533568.0
552,2010,Drug use,552907.0
553,2011,Drug use,569958.0
554,2012,Drug use,591551.0
555,2013,Drug use,626896.0
556,2014,Drug use,668791.0
557,2015,Drug use,717200.0
558,2016,Drug use,776325.0
559,2017,Drug use,809735.0
560,1990,Tuberculosis,7323385.0
561,1991,Tuberculosis,7339896.0
562,1992,Tuberculosis,7399774.0
563,1993,Tuberculosis,7389025.0
564,1994,Tuberculosis,7381038.0
565,1995,Tuberculosis,7348594.0
566,1996,Tuberculosis,7304157.0
567,1997,Tuberculosis,7366524.0
568,1998,Tuberculosis,7386357.0
569,1999,Tuberculosis,7369665.0
570,2000,Tuberculosis,7366574.0
571,2001,Tuberculosis,7255872.0
572,2002,Tuberculosis,7134253.0
573,2003,Tuberculosis,6971978.0
574,2004,Tuberculosis,6762167.0
575,2005,Tuberculosis,6647686.0
576,2006,Tuberculosis,6487683.0
577,2007,Tuberculosis,6349137.0
578,2008,Tuberculosis,6248590.0
579,2009,Tuberculosis,6129193.0
580,2010,Tuberculosis,6004885.0
581,2011,Tuberculosis,5888089.0
582,2012,Tuberculosis,5761746.0
583,2013,Tuberculosis,5658128.0
584,2014,Tuberculosis,5578774.0
585,2015,Tuberculosis,5515020.0
586,2016,Tuberculosis,5463650.0
587,2017,Tuberculosis,5388766.0
588,1990,Road_injuries,5452027.0
589,1991,Road_injuries,5506691.0
590,1992,Road_injuries,5610175.0
591,1993,Road_injuries,5716362.0
592,1994,Road_injuries,5815812.0
593,1995,Road_injuries,5894731.0
594,1996,Road_injuries,5896282.0
595,1997,Road_injuries,5914254.0
596,1998,Road_injuries,5931112.0
597,1999,Road_injuries,6000733.0
598,2000,Road_injuries,6052309.0
599,2001,Road_injuries,6018338.0
600,2002,Road_injuries,6015086.0
601,2003,Road_injuries,5979382.0
602,2004,Road_injuries,5997964.0
603,2005,Road_injuries,6037679.0
604,2006,Road_injuries,6002376.0
605,2007,Road_injuries,6018103.0
606,2008,Road_injuries,6062589.0
607,2009,Road_injuries,6073841.0
608,2010,Road_injuries,6064863.0
609,2011,Road_injuries,6028469.0
610,2012,Road_injuries,5993067.0
611,2013,Road_injuries,5901380.0
612,2014,Road_injuries,5878197.0
613,2015,Road_injuries,5842365.0
614,2016,Road_injuries,5830981.0
615,2017,Road_injuries,5785098.0
616,1990,Maternal_disorders,1455873.0
617,1991,Maternal_disorders,1443721.0
618,1992,Maternal_disorders,1462544.0
619,1993,Maternal_disorders,1440054.0
620,1994,Maternal_disorders,1426965.0
621,1995,Maternal_disorders,1421745.0
622,1996,Maternal_disorders,1399784.0
623,1997,Maternal_disorders,1399460.0
624,1998,Maternal_disorders,1399511.0
625,1999,Maternal_disorders,1391290.0
626,2000,Maternal_disorders,1374271.0
627,2001,Maternal_disorders,1331970.0
628,2002,Maternal_disorders,1291126.0
629,2003,Maternal_disorders,1244878.0
630,2004,Maternal_disorders,1216248.0
631,2005,Maternal_disorders,1203121.0
632,2006,Maternal_disorders,1177815.0
633,2007,Maternal_disorders,1153981.0
634,2008,Maternal_disorders,1133334.0
635,2009,Maternal_disorders,1119165.0
636,2010,Maternal_disorders,1101240.0
637,2011,Maternal_disorders,1064834.0
638,2012,Maternal_disorders,1011139.0
639,2013,Maternal_disorders,973558.0
640,2014,Maternal_disorders,945848.0
641,2015,Maternal_disorders,917235.0
642,2016,Maternal_disorders,902511.0
643,2017,Maternal_disorders,891254.0
644,1990,Neonatal_disorders,13407464.0
645,1991,Neonatal_disorders,13301403.0
646,1992,Neonatal_disorders,13188310.0
647,1993,Neonatal_disorders,13041286.0
648,1994,Neonatal_disorders,12830257.0
649,1995,Neonatal_disorders,12668420.0
650,1996,Neonatal_disorders,12473073.0
651,1997,Neonatal_disorders,12369297.0
652,1998,Neonatal_disorders,12257551.0
